OBJECTID,Station Name,Address,Address2,City,State,Zip,Contact,Contact Title,Phone,Email,Up Date,x,y
760,CONGERS FIRE DEPARTMENT STATION 3-100 - ALERT HOOK LADDER AND ENGINE COMPANY 1,64 LAKE ROAD EAST, ,CONGERS,NY,10920,,,845-268-6562,,,589063.87192253,4555962.51978753
761,OSSINING VOLUNTEER FIRE DEPARTMENT - HOLLA HOSE COMPANY 5,CORNER OF STATE STREET AND LAFAYETTE AVENUE, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-9505,,Confirmed or Updated 2022,595191.093795191,4556136.66025675
762,CONGERS FIRE DEPARTMENT STATION 3-101 - ALERT HOOK LADDER AND ENGINE COMPANY 1,40 NORTH HARRISON AVENUE, ,CONGERS,NY,10920,,,845-268-6562,,,588775.486683592,4556300.83535816
763,EAST MARION FIRE DEPARTMENT,STATE ROUTE 25, ,EAST MARION,NY,11939,,,631-477-0539,,,723217.437194007,4556333.28528094
764,SING SING CORRECTIONAL FACILITY FIRE DEPARTMENT,354 HUNTER STREET, ,OSSINING,NY,10562,,,914-941-0108,,Confirmed or Updated 2022,594964.057107555,4556137.77507793
765,SLOATSBURG FIRE DEPARTMENT,96 ORANGE TURNPIKE, ,SLOATSBURG,NY,10974,,,845-753-5575,,,567789.883378295,4556598.23192044
766,TUXEDO PARK FIRE DISTRICT / EAGLE VALLEY FIRE COMPANY STATION 3,14 SCOTT MINE ROAD, ,TUXEDO,NY,10987,,,845-753-5577,,,563968.118760782,4556674.67219413
767,OSSINING VOLUNTEER FIRE DEPARTMENT - CATARACT HOSE COMPANY 2,6 WALLER AVENUE, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-9019,CataractHoseCompany@ossiningfire.org,Confirmed or Updated 2022,595348.315710532,4557020.90573375
768,OSSINING VOLUNTEER FIRE DEPARTMENT - HEADQUARTERS / SENATE HOOK AND LADDER COMPANY 1 / RESCUE 14 EMERGENCY SQUAD,21 STATE STREET, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-9897,,Confirmed or Updated 2022,595235.298571991,4557030.90351898
769,CHAPPAQUA FIRE DEPARTMENT - HEADQUARTERS,491 KING STREET, ,CHAPPAQUA,NY,10514,,,914-238-4205,,Confirmed or Updated 2022,603651.037666698,4557103.21079475
770,CHAPPAQUA FIRE DEPARTMENT - SUBSTATION,11 SENTER STREET, ,CHAPPAQUA,NY,10514,,,914-238-4205,,Confirmed or Updated 2022,603104.615229881,4557132.01134359
771,OSSINING VOLUNTEER FIRE DEPARTMENT - OSSINING STEAMER COMPANY 1,CENTRAL AVENUE, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-0215,,Confirmed or Updated 2022,595242.603342045,4557236.97135391
772,OSSINING VOLUNTEER FIRE DEPARTMENT - MONITOR HOSE COMPANY 4,57 CENTRAL AVENUE, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-9591,,Confirmed or Updated 2022,595276.767198119,4557298.31923755
773,OSSINING VOLUNTEER FIRE DEPARTMENT - OSSINING HOSE COMPANY 7 / WASHINGTON HOOK AND LADDER COMPANY 2,23 SNOWDEN AVENUE, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-9633,,Confirmed or Updated 2022,595199.510787409,4558016.14217989
774,OSSINING VOLUNTEER FIRE DEPARTMENT - INDEPENDENT HOSE COMPANY,3 CAMPWOODS ROAD, ,OSSINING,NY,10562,Manuel DaCruz,Chief,914-941-9825,,Confirmed or Updated 2022,596947.929096716,4558031.69762459
775,ORIENT FIRE DEPARTMENT,23300 MAIN ROAD, ,ORIENT,NY,11957,,,631-323-2445,,,726621.466021287,4558145.87798699
776,ROCKLAND COUNTY FIRE AND EMERGENCY - 44 CONTROL TRAINING CENTER,35 FIREMENS MEMORIAL DRIVE, ,POMONA,NY,10970,,,845-364-8800,,,580845.990065157,4558458.36742903
777,HILLCREST FIRE DEPARTMENT - HILLCREST ROUTE 306,631 STATE ROUTE 306, ,SUFFERN,NY,10901,,,845-364-0347,,,578197.023234786,4558833.21858304
778,TUXEDO PARK FIRE DISTRICT / TUXEDO PARK FIRE DEPARTMENT STATION 1,2 CONTRACTORS ROAD, ,TUXEDO,NY,10987,,,845-351-2222,,,568467.296911889,4560037.95139166
779,HILLCREST FIRE DEPARTMENT - HILLCREST MOUNT IVY,52 THIELLS MOUNT IVY ROAD, ,POMONA,NY,10970,,,845-354-0051,,,580767.509032315,4560335.76743606
780,MILLWOOD FIRE STATION 1,100 MILLWOOD RD,,MILLWOOD,NY,10546,,,,,Confirmed or Updated 2022,601116.226211302,4560621.01556669
781,MILLWOOD FIRE COMPANY STATION 1 - MAIN STATION,60 MILLWOOD ROAD, ,MILLWOOD,NY,10546,,,914-941-2222,,Confirmed or Updated 2022,600845.738318116,4560623.82857271
782,THIELLS FIRE DEPARTMENT - DAVID B ROCHE VOLUNTEER FIRE COMPANY,99 STATE ROUTE 202, ,THIELLS,NY,10984,,,845-354-2320,,,582865.451096747,4560831.67522247
783,POUND RIDGE FIRE DEPARTMENT,80 WESTCHESTER AVENUE, ,POUND RIDGE,NY,10576,,,914-764-5102,,Confirmed or Updated 2022,621366.797824315,4560929.87537591
784,HAVERSTRAW FIRE DEPARTMENT - GENERAL WARREN EMERGENCY COMPANY 2,25 FAIRMONT AVENUE, ,HAVERSTRAW,NY,10927,,,845-429-9877,,,586800.766036364,4560947.76041851
785,HAVERSTRAW FIRE DEPARTMENT - COSGRIFF HOSE COMPANY 4,25 FAIRMONT AVENUE, ,HAVERSTRAW,NY,10927,,,845-429-9850,,,586801.190644924,4560947.76674748
786,HAVERSTRAW FIRE DEPARTMENT - RESCUE HOOK AND LADDER 1,25 FAIRMONT AVENUE, ,HAVERSTRAW,NY,10927,,,845-429-9861,,,586800.37336719,4560947.88738716
787,CROTON VOLUNTEER FIRE DEPARTMENT - HARMON ENGINE COMPANY 3/CROTON FIRE PATROL 1/CROTON EMERGENCY MEDICAL SERVICES,30 WAYNE STREET, ,CROTON ON HUDSON,NY,10520,,,914-271-2163,,Confirmed or Updated 2022,593702.637381661,4560992.5645725
788,MOUNT KISCO FIRE DEPARTMENT - MAIN STATION - INDEPENDENT FIRE COMPANY,322 LEXINGTON AVENUE, ,MOUNT KISCO,NY,10549,,,914-666-3909,,Confirmed or Updated 2022,606240.080618829,4561367.90457834
789,HAVERSTRAW FIRE DEPARTMENT - LADY WARREN HOSE COMPANY 5,90 BROADWAY, ,HAVERSTRAW,NY,10927,,,845-429-9871,,,586751.991727016,4561433.81645811
790,HAVERSTRAW FIRE DEPARTMENT - RELIEF HOSE COMPANY 3,11 CONKLIN AVENUE, ,HAVERSTRAW,NY,10927,,,845-429-9874,,,586159.949195039,4561464.67645922
791,PLUM ISLAND AMBULANCE / PLUM ISLAND FIRE DEPARTMENT,ORIENT POINT PLUM ISLAND FREEWAY,EAST END OF PLUM ISLAND,ORIENT,NY,11957,,,631-323-3215,,,734430.239903961,4561737.9143273
792,MILLWOOD FIRE COMPANY STATION 2,366 CROTON DAM ROAD, ,OSSINING,NY,10562,,,914-941-2222,,Confirmed or Updated 2022,598726.851595043,4561835.63367211
793,WEST HAVERSTRAW FIRE DEPARTMENT - S W JOHNSON STEAM FIRE ENGINE COMPANY 1,37 BRIDGE STREET, ,GARNERVILLE,NY,10923,,,845-947-2550,,,584530.693918021,4562102.05410062
794,BEDFORD FIRE DEPARTMENT,38 VILLAGE GREEN, ,BEDFORD,NY,10506,,,914-234-3133,,Confirmed or Updated 2022,613783.642244023,4562224.30487705
795,MOUNT KISCO FIRE DEPARTMENT - UNION HOOK AND LADDER COMPANY 1 / RESCUE FIRE POLICE,29 GREEN STREET, ,MOUNT KISCO,NY,10549,,,914-666-3909,,Confirmed or Updated 2022,606595.134074208,4562291.79166055
796,THIELLS FIRE DEPARTMENT STATION 3 26-102,180 BEACH ROAD, ,WEST HAVERSTRAW,NY,10993,,,845-735-8822,,,586349.986421008,4562362.04650586
797,MOUNT KISCO FIRE DEPARTMENT - MUTUAL ENGINE AND HOSE COMPANY 1,99 MAIN STREET, ,MOUNT KISCO,NY,10549,,,914-666-3909,,Confirmed or Updated 2022,606767.010349208,4562428.26878382
798,CROTON VOLUNTEER FIRE DEPARTMENT - WASHINGTON ENGINE COMPANY 2,81 NORTH RIVERSIDE AVENUE, ,CROTON ON HUDSON,NY,10520,,,914-271-6310,,Confirmed or Updated 2022,592725.662934386,4562500.01744864
799,WEST HAVERSTRAW FIRE DEPARTMENT - VOLUNTEER HOSE COMPANY 2,30 RAILROAD AVENUE, ,WEST HAVERSTRAW,NY,10993,,,845-429-5616,,,585194.677044742,4562540.49570885
800,CROTON VOLUNTEER FIRE DEPARTMENT - CHEMICAL ENGINE COMPANY 1/COLUMBIAN HOOK AND LADDER 1,154 GRAND STREET, ,CROTON ON HUDSON,NY,10520,,,914-271-2118,,Confirmed or Updated 2022,593665.787200002,4562656.4239
801,THIELLS FIRE DEPARTMENT STATION 2 26-101,120 HAMMOND ROAD, ,THIELLS,NY,10984,,,845-795-8822,,,582536.82876103,4563292.52079518
802,VISTA FIRE DEPARTMENT INCORPORATED,337 SMITH RIDGE ROAD, ,SOUTH SALEM,NY,10590,,,914-533-2727,,Confirmed or Updated 2022,624376.30897829,4563587.66562727
803,GREENWOOD LAKE FIRE DEPARTMENT,51 WATERSTONE ROAD, ,GREENWOOD LAKE,NY,10925,,,845-477-2236,,,559243.046080878,4563679.30962867
804,STONY POINT FIRE DEPARTMENT - SUBSTATION,199 CENTRAL HIGHWAY, ,STONY POINT,NY,10980,,,845-786-3386,,,584374.513813076,4564344.37398411
805,STONY POINT FIRE DEPARTMENT - WAYNE HOSE COMPANY 1,25 NORTH LIBERTY DRIVE, ,STONY POINT,NY,10980,,,845-786-3386,,,584939.509599012,4564897.37938367
806,TUXEDO PARK FIRE DISTRICT / STERLING FOREST FIRE COMPANY STATION 2,1667 LONG MEADOW ROAD, ,TUXEDO,NY,10987,,,845-351-5768,,,566582.955793623,4565622.70547107
807,BEDFORD HILLS FIRE DEPARTMENT,332 BEDFORD ROAD, ,BEDFORD HILLS,NY,10507,Alexander W. Dennett,Fire Chief,914-666-4112,info@bedfordhillsfd.org,Confirmed or Updated 2022,608844.86612451,4565722.78521331
808,VETERANS AFFAIRS HUDSON VALLEY FIRE DEPARTMENT,2094 ALBANY POST ROAD,BUILDING 19,MONTROSE,NY,10548,,,914-788-4308,,Confirmed or Updated 2022,589676.104251122,4565993.23340238
809,WARWICK FIRE DEPARTMENT - ENGINE COMPANY 3,132 SOUTH STREET EXTENSION, ,WARWICK,NY,10990,,,845-986-4455,,,554010.015779326,4566477.76362035
810,WARWICK FIRE DEPARTMENT - RAYMOND HOSE COMPANY,200 WEST STREET EXTENSION, ,WARWICK,NY,10990,,,845-986-4644,,,551884.052236421,4567359.40138184
811,MONTROSE FIRE DEPARTMENT / CORTLANDT ENGINE COMPANY INCORPORATED,49 ALBANY POST ROAD, ,MONTROSE,NY,10548,,,914-737-0354,,Confirmed or Updated 2022,589519.294369459,4567366.71856444
812,VERPLANCK FIRE DEPARTMENT STATION 2,218 6TH STREET, ,VERPLANCK,NY,10596,,,914-767-8233,,Confirmed or Updated 2022,586941.612994244,4567424.01028454
813,VERPLANCK FIRE DEPARTMENT,238 8TH STREET, ,VERPLANCK,NY,10596,,,914-737-8233,,Confirmed or Updated 2022,587011.590155057,4567576.15785903
814,WARWICK FIRE DEPARTMENT - EXCELSIOR HOSE COMPANY - GOODWILL HOOK AND LADDER COMPANY,25 CHURCH STREET, ,WARWICK,NY,10990,,,845-986-4688,,,554021.989585687,4567761.27430809
815,KATONAH FIRE DEPARTMENT,65 BEDFORD ROAD, ,KATONAH,NY,10536,,,914-232-4570,,Confirmed or Updated 2022,610168.46951068,4567948.00911856
816,BUCHANAN ENGINE COMPANY 1,3159 ALBANY POST ROAD, ,BUCHANAN,NY,10511,,,914-737-5010,,Confirmed or Updated 2022,589172.6878,4568292.4042
817,AMITY VOLUNTEER FIRE DEPARTMENT,59 AMITY ROAD, ,WARWICK,NY,10990,,,845-258-4351,,,546224.5944851,4569479.88477642
818,YORKTOWN HEIGHTS ENGINE COMPANY 1 STATION 1,1916 COMMERCE STREET, ,YORKTOWN HEIGHTS,NY,10598,,,914-962-2148,,Confirmed or Updated 2022,602205.741590077,4569912.84410062
819,MONROE-LAKESIDE FIRE AND RESCUE COMPANY,145 WEST MOMBASHA ROAD, ,MONROE,NY,10950,,,845-782-4165,,,565719.159606431,4569945.96244387
820,PEEKSKILL FIRE DEPARTMENT STATION 6 - PEEKSKILL FIRE PATROL / CENTENNIAL HOSE COMPANY 4,701 WASHINGTON STREET, ,PEEKSKILL,NY,10566,,,914-737-1355,,Confirmed or Updated 2022,589897.091618211,4570061.16694374
821,LAKE MOHEGAN FIRE DISTRICT STATION 3 - FURNACE WOODS,260 CROTON AVENUE, ,CORTLANDT MANOR,NY,10567,,,914-528-2116,,Confirmed or Updated 2022,595204.754533028,4570139.60819246
823,SOUTH SALEM FIRE DEPARTMENT,1190 STATE ROUTE 35, ,SOUTH SALEM,NY,10590,,,914-763-3706,,Confirmed or Updated 2022,619795.844345972,4570286.29053538
824,SOMERS VOLUNTEER FIRE DEPARTMENT INCORPORATED STATION 4,1 LIBERTY WAY, ,AMAWALK,NY,10501,,,914-248-7422,,Confirmed or Updated 2022,603439.79054614,4571378.1027726
825,PEEKSKILL FIRE DEPARTMENT STATION 5 - COLUMBIAN ENGINE COMPANY 1,1209 CROMPOND ROAD, ,PEEKSKILL,NY,10566,,,914-737-2773,,Confirmed or Updated 2022,590803.490080213,4571396.25322887
826,PEEKSKILL FIRE DEPARTMENT STATION 3 - WASHINGTON ENGINE COMPANY 2,424 SOUTH DIVISION STREET, ,PEEKSKILL,NY,10566,,,914-737-0330,,Confirmed or Updated 2022,590804.138967138,4571366.65332681
827,PEEKSKILL FIRE DEPARTMENT STATION 1 - CORTLANDT HOOK AND LADDER COMPANY 1 - HEADQUARTERS,828 MAIN STREET, ,PEEKSKILL,NY,10566,,,914-737-8026,,Confirmed or Updated 2022,590169.701013438,4571696.47766801
828,PINE ISLAND FIRE DEPARTMENT,684 COUNTY ROUTE 1, ,PINE ISLAND,NY,10969,,,845-258-7000,,,544727.667166825,4571844.88685752
829,CHESTER FIRE DEPARTMENT - TROUT BROOK ENGINE AND HOSE COMPANY,712 LAKES ROAD, ,MONROE,NY,10950,,,845-783-1577,,,564174.25062024,4571893.59480453
830,COLUMBIAN HOSE COMPANY,DAYTON LANE, ,PEEKSKILL,NY,10566,,,914-739-9005,,Confirmed or Updated 2022,592588.889823843,4572015.61187763
831,UNIONVILLE FIRE DEPARTMENT,100 STATE ROUTE 284, ,UNIONVILLE,NY,10988,,,845-726-3880,,,536867.709780895,4572200.60258444
832,YORKTOWN HEIGHTS ENGINE COMPANY 1 STATION 2,794 LOCKSLEY ROAD, ,YORKTOWN HEIGHTS,NY,10598,,,914-245-3366,,Confirmed or Updated 2022,599794.803885626,4572292.62548978
833,FISHERS ISLAND FIRE DISTRICT - FISHERS ISLAND FIRE DEPARTMENT,250 ATHOL-CRESCENT AVENUE, ,FISHERS ISLAND,NY,06390,,,631-788-7019,,,749879.438026729,4572377.06052587
834,THE GOLDENS BRIDGE FIRE DEPARTMENT,254 WACCABUC ROAD, ,GOLDENS BRIDGE,NY,10526,,,914-232-1769,,Confirmed or Updated 2022,612264.517012125,4572401.73054899
835,HARRIMAN ENGINE COMPANY 1,2 SOUTH MAIN STREET, ,HARRIMAN,NY,10926,,,845-783-1120,,,571110.226921704,4573439.08484289
836,BEAR MOUNTAIN STATE PARK FIRE DEPARTMENT,SEVEN LAKES DRIVE, ,BEAR MOUNTAIN,NY,10911,,,845-786-2701,,,584568.704388302,4574006.45605816
837,SOMERS VOLUNTEER FIRE DEPARTMENT INCORPORATED STATION 1 - HEADQUARTERS,119 PRIMROSE STREET, ,KATONAH,NY,10536,,,914-248-7422,,Confirmed or Updated 2022,607333.119028027,4574280.46305711
838,SOMERS VOLUNTEER FIRE DEPARTMENT INCORPORATED STATION 2,145 OLD TOMAHAWK STREET, ,YORKTOWN HEIGHTS,NY,10598,,,914-248-7422,,Confirmed or Updated 2022,604755.889324215,4574425.41315044
839,CHESTER FIRE DEPARTMENT - SUGAR LOAF ENGINE COMPANY,1408 KINGS HIGHWAY, ,CHESTER,NY,10918,,,845-469-4400,,,559928.886676585,4574587.0362235
840,MONROE FIRE DEPARTMENT MOMBASHA FIRE COMPANY STATION 1,526 STATE ROUTE 17M, ,MONROE,NY,10950,,,845-783-6791,,,568705.936145563,4574667.74510495
841,MOHEGAN VOLUNTEER FIRE ASSOCIATION STATION 1 - HEADQUARTERS,1975 EAST MAIN STREET, ,LAKE MOHEGAN,NY,10547,,,914-528-2116,,Confirmed or Updated 2022,595532.321081936,4574816.30894155
843,MOHEGAN VOLUNTEER FIRE ASSOCIATION STATION 2 - JEFFERSON VALLEY,500 LEE BOULEVARD, ,YORKTOWN HEIGHTS,NY,10598,,,914-528-2116,,Confirmed or Updated 2022,600148.601689852,4575497.24096632
846,MOHEGAN VOLUNTEER FIRE ASSOCIATION STATION 4 - HOLLOWBROOK,1130 OREGON ROAD, ,CORTLANDT MANOR,NY,10567,,,914-528-2116,,Confirmed or Updated 2022,593484.424791386,4575536.54643002
847,FLORIDA FIRE DEPARTMENT,19 SOUTH MAIN STREET, ,FLORIDA,NY,10921,,,845-651-7754,,,553862.057923616,4575767.48925607
848,CONTINENTAL VILLAGE VOLUNTEER FIRE DEPARTMENT,HIGHLAND DRIVE, ,CORTLANDT MANOR,NY,10567,,,845-739-1020,,,590828.511946619,4575900.04154512
849,SOMERS VOLUNTEER FIRE DEPARTMENT INCORPORATED STATION 3,270 SOMERS ROAD, ,SOMERS,NY,10589,,,914-248-7422,,Confirmed or Updated 2022,609754.023705603,4575937.74709735
850,WOODBURY FIRE DEPARTMENT / CENTRAL VALLEY FIRE COMPANY,24 SMITH CLOVE ROAD, ,CENTRAL VALLEY,NY,10917,,,845-928-6080,,,573681.682084555,4576088.13900025
851,CROTON FALLS FIRE DISTRICT STATION 2 - NORTH SALEM,301 TITICUS ROAD, ,NORTH SALEM,NY,10560,,,914-669-5544,,Confirmed or Updated 2022,618292.989114668,4576099.72204547
852,FORT MONTGOMERY FIRE DEPARTMENT,865 UNITED STATES HIGHWAY 9 WEST, ,HIGHLAND FALLS,NY,10928,,,845-446-7116,,,584835.957113292,4576249.81706851
853,MONROE FIRE DEPARTMENT STATION 2,NORTH MAIN STREET, ,MONROE,NY,10950,,,845-783-6792,,,567940.717057899,4576605.60574142
854,WOODBURY FIRE DEPARTMENT / HIGHLAND MILLS FIRE COMPANY,455 STATE ROUTE 32, ,HIGHLAND MILLS,NY,10930,,,845-928-6070,,,572993.949749905,4577440.97625562
855,CROTON FALLS VOLUNTEER FIRE DEPARTMENT,1 SUN VALLEY DRIVE,,NORTH SALEM,NY,10560,,,,,Confirmed or Updated 2022,612389.583900003,4577774.0527913
856,CROTON FALLS FIRE DISTRICT STATION 1 - CROTON FALLS,1 FRONT STREET, ,CROTON FALLS,NY,10519,,,914-277-3870,,Confirmed or Updated 2022,611875.486482544,4578336.02097494
857,VILLAGE OF KIRYAS JOEL FIRE DEPARTMENT,3 CHEVRON ROAD, ,MONROE,NY,10950,,,845-783-8300,,,569020.34907964,4578336.16784954
858,MAHOPAC FIRE STATION 2,4 BUCKSHOLLOW RD,,MAHOPAC,NY,10541,,,,,,604875.980200006,4578724.7996913
859,PORT JERVIS FIRE DEPARTMENT / TRI-STATE ENGINE COMPANY 6,259 EAST MAIN STREET, ,PORT JERVIS,NY,12771,,,845-858-4099,,,526389.429193581,4578728.01191995
860,CHESTER FIRE DEPARTMENT - WALTON ENGINE AND HOSE COMPANY,81 MAIN STREET, ,CHESTER,NY,10918,,,845-469-4100,,,560570.96900333,4578954.15080918
861,GARRISON VOLUNTEER FIRE COMPANY STATION 2,1616 UNITED STATES HIGHWAY 9, ,GARRISON,NY,10524,,,845-424-3886,,,590467.933777593,4579201.70593366
862,JOHNSON FIRE DEPARTMENT / RUTGERS ENGINE COMPANY,30 CREAMERY ROAD, ,WESTTOWN,NY,10998,,,845-355-6726,,,541353.807687853,4579559.14263797
863,PORT JERVIS FIRE DEPARTMENT / HOWARD WHEAT ENGINE COMPANY 4,31 OWEN STREET, ,PORT JERVIS,NY,12771,,,845-858-4099,,,526421.690395515,4579728.55810527
864,GREENVILLE FIRE DEPARTMENT,1 FIREHOUSE ROAD, ,PORT JERVIS,NY,12771,,,845-856-1101,,,532079.030662004,4579974.82367047
865,SOUTH BLOOMING GROVE FIRE DISTRICT,819 STATE ROUTE 208, ,MONROE,NY,10950,,,845-783-9606,,,567870.49051818,4580007.88542023
866,PUTNAM VALLEY VOLUNTEER FIRE DEPARTMENT STATION 1,12 CANOPUS HOLLOW ROAD, ,PUTNAM VALLEY,NY,10579,,,845-526-2879,,,594777.523970565,4580184.00239269
867,HIGHLAND FALLS VOLUNTEER FIRE DEPARTMENT,9 MOUNTAIN AVENUE, ,HIGHLAND FALLS,NY,10928,,,845-446-2040,,,586404.224549897,4580228.61057546
868,PORT JERVIS FIRE DEPARTMENT / DELAWARE ENGINE COMPANY 2 / FOWLER RESCUE AND SALVAGE COMPANY 3,22 HAMMOND STREET, ,PORT JERVIS,NY,12771,,,845-858-4099,,,525887.022571053,4580424.11993774
869,MAHOPAC FALLS VOLUNTEER FIRE DEPARTMENT - BROOK STATION,BROOK ROAD, ,MAHOPAC,NY,10541,,,845-628-4414,,,603390.220887436,4580784.90225871
870,PORT JERVIS FIRE DEPARTMENT / EXCELSIOR ENGINE COMPANY 5,143 WEST MAIN STREET, ,PORT JERVIS,NY,12771,,,845-858-4099,,,524926.054052368,4580852.68347676
871,PORT JERVIS FIRE DEPARTMENT / MAGHOGOMOCK HOOK AND LADDER COMPANY 1,25 ORANGE STREET, ,PORT JERVIS,NY,12771,,,845-858-4099,,,526120.20434177,4580875.26159661
872,PORT JERVIS FIRE DEPARTMENT / NEVERSINK ENGINE COMPANY 1,27 ORANGE STREET, ,PORT JERVIS,NY,12771,,,845-858-4099,,,526128.903600111,4580895.25658217
873,WEST POINT FIRE DEPARTMENT STATION 3-DOD,1400 STATE ROUTE 293, ,WEST POINT,NY,10996,,,845-986-5197,,,582211.734785256,4580966.02756644
874,CARMEL FIRE DEPARTMENT,741 UNITED STATES HIGHWAY 6, ,MAHOPAC,NY,10541,,,845-225-5100,,,606519.92102563,4581370.46766132
875,MAHOPAC FALLS VOLUNTEER FIRE DEPARTMENT - CROTON FALLS ROAD STATION,741 UNITED STATES HIGHWAY 6, ,MAHOPAC,NY,10541,,,845-628-4414,,,606519.816357798,4581370.48318922
876,GARRISON VOLUNTEER FIRE COMPANY STATION 1,31 UPPER STATION ROAD, ,GARRISON,NY,10524,,,845-424-3886,,,588465.874384776,4581575.40244919
877,WEST POINT FIRE DEPARTMENT STATION 2-DOD,1203 STONY LONESOME ROAD, ,WEST POINT,NY,10996,,,845-986-4498,,,585430.492437134,4581891.38434207
878,WAWAYANDA VOLUNTEER FIRE COMPANY INCORPORATED / SLATE HILL FIRE DEPARTMENT,1969 STATE ROUTE 284, ,SLATE HILL,NY,10973,,,845-355-7411,,,543562.391430466,4581973.3857667
879,SALISBURY MILLS FIRE COMPANY - MOUNTAIN LODGE STATION,361 MOUNTAIN LODGE ROAD, ,MONROE,NY,10950,,,845-496-6595,,,571673.879303774,4582350.66567982
880,GOSHEN FIRE DEPARTMENT - DIKEMAN ENGINE AND HOSE COMPANY STATION 3,10 DIKEMAN DRIVE, ,GOSHEN,NY,10924,,,845-294-7211,,,555117.032407389,4582370.41516032
881,FIRE TRAINING CENTER - ORANGE COUNTY FIRE COORDINATOR,9 TRAINING CENTER LANE,,GOSHEN,NY,10958,,,,,,550637.215481566,4583253.68574381
882,GOSHEN FIRE DEPARTMENT - CATARACT ENGINE AND HOSE COMPANY STATION 2,40 GREEN STREET, ,GOSHEN,NY,10924,,,845-294-3055,,,556481.930023016,4583383.14960215
883,WEST POINT FIRE DEPARTMENT STATION 1-DOD,721 WASHINGTON ROAD, ,WEST POINT,NY,10996,,,845-986-3151,,,586277.256584057,4583418.51975047
884,SPARROWBUSH ENGINE COMPANY,79 MAIN STREET, ,SPARROWBUSH,NY,12780,,,845-856-5047,,,522782.891258606,4583476.34941056
885,MAHOPAC FALLS VOLUNTEER FIRE DEPARTMENT - AUSTIN STATION,AUSTIN ROAD, ,MAHOPAC,NY,10541,,,845-628-4414,,,602413.201605931,4583607.6848371
886,PUTNAM VALLEY VOLUNTEER FIRE DEPARTMENT STATION 2,710 PEEKSKILL HOLLOW ROAD, ,PUTNAM VALLEY,NY,10579,,,845-528-4440,,,600093.345674159,4583625.26029937
887,GOSHEN FIRE DEPARTMENT - MINISINK HOOK AND LADDER STATION 1,99 NORTH CHURCH STREET, ,GOSHEN,NY,10924,,,845-294-3040,,,556344.857895938,4583695.48197155
888,BREWSTER SOUTHEAST JOINT FIRE DISTRICT - MAIN STATION,501 NORTH MAIN STREET, ,BREWSTER,NY,10509,,,845-279-3555,,,615382.546276281,4583931.34144993
889,CANTERBURY FIRE DISTRICT / CORNWALL FIRE DEPARTMENT - MOUNTAINVILLE ENGINE COMPANY 3,10 STAR DRIVE, ,CORNWALL,NY,12518,,,845-534-2387,,,576930.963906658,4584101.44579432
890,NEW HAMPTON FIRE COMPANY,5024 STATE ROUTE 17M, ,NEW HAMPTON,NY,10958,,,845-374-2111,,,548862.85636952,4584448.16030187
891,HUGUENOT FIRE COMPANY,431 STATE ROUTE 209, ,HUGUENOT,NY,12746,,,845-856-1606,,,530850.923457366,4585404.5395758
892,MAHOPAC FIRE STATION 3,311 CRANE RD,,MAHOPAC,NY,10541,,,,,,606375.2166,4585684.68409131
893,COLD SPRING FIRE COMPANY 1 - MAIN STATION,154 MAIN STREET, ,COLD SPRING,NY,10516,,,845-265-9241,,,587179.697651305,4585815.83698885
894,COLD SPRING FIRE COMPANY 1 - SUBSTATION,MAIN STREET, ,NELSONVILLE,NY,10516,,,845-265-9241,,,587942.733654737,4586412.5495
895,WASHINGTONVILLE FIRE DEPARTMENT,89 EAST MAIN STREET, ,WASHINGTONVILLE,NY,10992,,,845-496-8591,,,570443.814136179,4586437.89361817
896,SALISBURY MILLS FIRE COMPANY - MAIN STATION,2128 STATE ROUTE 94, ,SALISBURY MILLS,NY,12577,,,845-496-3251,,,573095.039278246,4587161.56992932
897,CARMEL FIRE STATION,94 GLENEIDA AVE,,CARMEL,NY,10512,,,,,,610385.245399999,4587322.7178913
898,CANTERBURY FIRE DISTRICT / CORNWALL FIRE DEPARTMENT - HIGHLAND ENGINE COMPANY 1,1 QUAKER AVENUE, ,CORNWALL,NY,12518,,,845-534-9550,,,580481.153330359,4587417.50471155
899,BREWSTER SOUTHEAST JOINT FIRE DISTRICT - SUBSTATION,STATE ROUTE 312 AND NORTH BREWSTER ROAD, ,BREWSTER,NY,10509,,,845-279-3555,,,616200.276228489,4587794.76937611
900,POCATELLO FIRE DEPARTMENT,5 POCATELLO ROAD, ,MIDDLETOWN,NY,10940,,,845-343-4274,,,545657.606665908,4587968.63978321
901,MECHANICSTOWN FIRE DEPARTMENT STATION 1,22 VICTORY STREET, ,MIDDLETOWN,NY,10940,,,845-342-0821,,,550087.321015893,4588092.68617741
902,MIDDLETOWN FIRE DEPARTMENT - CENTRAL FIRE STATION,81 EAST MAIN STREET, ,MIDDLETOWN,NY,10940,,,845-343-4169,,,548828.281606843,4588429.02883907
903,STORM KING FIRE ENGINE COMPANY 2,233 HUDSON STREET, ,CORNWALL-ON-HUDSON,NY,12520,,,845-534-2841,,,582330.101408836,4588515.84461619
